ID, Year, Best_est_deaths
159458, 2000, 53
159632, 1997, 791
162851, 1996, 7
164062, 1991, 20
28815, 2012, 14
29335, 2012, 32
29336, 2012, 10
29337, 2012, 53
29368, 2012, 1
215920, 2015, 0
176291, 1994, 15
176094, 1989, 25
215707, 2014, 2
215777, 2014, 7
195320, 1991, 53
216090, 2015, 27
196630, 2015, 7
196669, 2015, 9
196670, 2015, 90
196674, 2015, 23
196679, 2015, 4
196731, 2015, 15
196709, 2015, 17
196776, 2015, 1
196777, 2015, 26
196734, 2015, 14
196749, 2015, 17
196751, 2015, 7
196757, 2015, 45
196772, 2015, 3
196765, 2015, 53
196778, 2015, 17
197335, 2015, 4
196805, 2015, 15
196816, 2015, 16
196857, 2015, 6
196870, 2015, 10
196858, 2015, 4
196895, 2015, 255
196899, 2015, 10
196902, 2015, 5
196921, 2015, 10
196924, 2015, 3
196925, 2015, 2
197029, 2015, 10
196929, 2015, 30
196944, 2015, 35
196946, 2015, 6
196947, 2015, 3
197003, 2015, 16
197025, 2015, 6
197035, 2015, 25
197053, 2015, 3
197063, 2015, 3
197065, 2015, 277
197078, 2015, 28
197080, 2015, 23
197090, 2015, 50
197097, 2015, 2
197099, 2015, 5
197114, 2015, 2
197255, 2015, 1
197121, 2015, 13
197283, 2015, 4
197123, 2015, 1
197127, 2015, 3
197134, 2015, 110
197135, 2015, 12
197142, 2015, 15
197149, 2015, 45
197179, 2015, 22
197156, 2015, 18
197159, 2015, 14
197201, 2015, 17
197203, 2015, 5
197204, 2015, 1
197165, 2015, 50
197171, 2015, 14
197185, 2015, 5
197247, 2015, 3
197198, 2015, 10
197205, 2015, 5
197213, 2015, 34
197214, 2015, 5
197215, 2015, 12
197219, 2015, 8
197225, 2015, 34
197232, 2015, 1
197234, 2015, 17
197348, 2015, 5
197361, 2015, 19
197363, 2015, 4
197364, 2015, 7
197640, 2015, 16
198078, 2015, 2
198068, 2015, 1
198335, 2015, 8
198079, 2015, 8
198080, 2015, 3
198024, 2015, 7
198025, 2015, 24
198037, 2015, 6
198015, 2015, 12
198012, 2015, 7
198019, 2015, 12
198082, 2015, 5
198083, 2015, 1
198085, 2015, 2
198086, 2015, 72
198181, 2015, 37
198174, 2015, 38
198182, 2015, 37
198288, 2015, 18
198273, 2015, 50
198259, 2015, 11
198260, 2015, 70
198359, 2015, 10
198462, 2015, 5
198665, 2015, 74
198616, 2015, 3
198631, 2015, 1
198697, 2015, 1
198698, 2015, 13
198699, 2015, 8
198746, 2015, 8
198750, 2015, 7
198762, 2015, 20
198764, 2015, 24
198787, 2015, 17
198810, 2015, 8
201072, 2015, 3
201082, 2015, 24
201084, 2015, 3
201092, 2015, 5
201093, 2015, 12
201107, 2015, 18
201175, 2015, 55
206863, 2015, 2
206834, 2015, 14
206836, 2015, 7
206827, 2015, 350
206831, 2015, 7
